property_address,categories
"flat-602,floor-6 the royal park tower 3 plot in,s no 166/24-29bowrampet(v)dundigal-gandimaisamma(m)medchal-malkajgiri dist rangareddy 500043 telangana",flat
"room no 645,cts no 320 ward no 461 sheet no 359,street no 747,mil ni chali azad nivas,kumbharwada,nr railway fatak,bhavnagar,gujarat,364006",commercial unit
"unit-150 raghukul dhara - 416 s no 564,b/h , jol bus stand ,bakrol-vadtal road , jol anand anand 388315 gujarat",others
"sy. no. 4449/9, village madhavpur, behind infopark, pune, maharashtra - 433264",landparcel
"unit-k-141 ruda nagar (r.s. no. 652,246,8141)nr vallabh nagar/bapod villagewaghodia roadvadodara vadodara 390019 gujarat",others
mukkalnaickkanahalli noolaalli,others
"503-18bijapur solapur road, bijapur vijayapura bijapur karnataka 586101",others
four flat -4a sukh sagar apartment sukh sagar apartment na siliguri darjeeling siliguri west bengal 734005,flat
"2/166, a d colony, atchanampatty, vellampatty, dindigul - 624702",houseorplot
c/o sardar ji departmental store nr green land public school 919 1a a bhoura sadak ludhiana,commercial unit
"flat no. 105, 1st floor, sai angan, survey no. 63, hissa no. 1c/3, mauje lohegaon, tal- haveli, dist- pune, lohegaon, pune, pune, maharashtra, india, 411047",flat
"patwari halka no. 141, village ghughriyakhedi, tehsil gogawan, khargone, khargone, madhya pradesh, india, 451335",others
"shop no. 566 and 784, saraswati industries, apmc market bahirwadi, beed",commercial unit
shop no i 984 and 821 radha krishna textile market ring road ring road 527 radha krishna textile market ring road,commercial unit
"flat-e493,floor-third 90 east s no 837/895 & 47,near sarita icefactory ,manpada raod ,dombivili kalyan-dombivali 421204 maharashtra",flat
"d-24, 2, d block/2nd floor, sunny vale, t s no.182/2 part, block no.25, ayanavaram village, t sno.4, block no.10 chinna chembarambakkam village, 50 meter from sayani theatre bus stop, konnur high road, chennai, ayanavaram, chennai, tamil nadu, 600023",flat
"ek kitta makan, ramgopal colony, sonipat road, gali number 9 rakba 100sq yards, min jumla khewat no 1421 khatoni no 1534 killa no 170//5, mauja bohar, rohtak, rohtak, haryana, india, 124001",houseorplot
"no.298/a,old house no.815,new house no.1709,prabhunagar,vadoli main road,near kd laxmi cinema,at village mulad,kim,sub-dist.olpad,dist.surat.,surat,gujarat,394110 , mulad , vadoli main road , semiurban , olpad ,gujarat , india - 394110",houseorplot
"all that the newly constructing house on open place admeasuring 130 sq yards or 108.68 sq meters, in sy. no. 379 situated at uddemarry village, and grampanchayath, shamirpet mandal, medchal malkajgiri district.. telangana state and bounded by",landparcel
"hotel aura, premises no. 409, surendra nath banerjee road, p.o. dharmatala under kolkata municipal corporation p.o. dharmatala, p.s. new market, kolkata 700013 near janbazar crossing",commercial unit
"row house-103 gera's world of joy - c, rowhouses s no gat no.1343b (formerlybearing gat no. 2329b),atupper kharadi, wagholi , pune. pune 412207 maharashtra",houseorplot
"na, nanawest part of plot no 11-d, khasra no 654,660,663 to 669, rev village devali goverdhan villas, udaipur , west part of plot no 11-d, goverdhan villas, na, udaipur, goverdhan villas, girwa, udaipur, rajasthan, 313001",houseorplot
"site no 16, assesment no 61/2, 63/b chikkabanavara village, yeshwanthapur hobli, bangalore, karnataka, india, 560090",houseorplot
"801, 8, b wing, dosti jade , bharat gears shill thane., bharat gears, mumbai pune road, thane, thane w",flat
"property situated at minal residency gate no. 05 dist bhopal m.p. 462023 gram damkheda, tehsil huzur near electricity bill deposit",flat
"flat-403,floor-4 lok paradise b. no. a3 & a4 chsl s no 75,108p-110p,112-115,midcroad, opp essar petrol pump,ambernath east,dist thane ambarnath 421501 maharashtra",flat
e 693 midc waluj nrb mayur enterprises waluj midc aurangabad e 435 midc waluj nrb aurangabad waluj midc waluj midc 417 e 898 midc waluj nrb aurangabad waluj midc,others
"athwal cold store, na, na, cold storage property situated at vill. bazidpur, tehsil thanesar, khewat no. 349, khatoni no. 876, khasra no. 233/722(507-60), 840/239/792(352-664) kite2, rakba 865 kanal , gram bazidpur, tehsil thanesar, distt. kurukshetra, na, a.k.roller floor mill, bazidpur road, kurukshetra, kurukshetra, kurukshetra, haryana, 136131",commercial unit
"house 32a/d-660a/80/10d,plot3/5,khassra 968,colony balajinagar,mouza ghatwasan,districtagra agra 282005 uttar pradesh",houseorplot
"property bearing plot no. 22, rs no. 11/2b & 11/3b, rajaatown, ayodhya village, hdmc limits, hubballi ,dharwad district - 580024",houseorplot
"plot no a 198, shubh labh greens colony, gram dongargoan, tehsil mhow, indore, indore, indore, indore, madhya pradesh, india, 452001",houseorplot
"plot no 8 over, part of khasra no, 358 situated at, village laulai pargana and tehsil lucknow, lucknow, lucknow, uttar pradesh, india, 226010",houseorplot
"flat-r514,floor-2 sairama signature plot 62b,sector 126,kharghar panvel 410218 maharashtra",flat
"flat no-ug-2, upper ground floor,plot no. 428 & 451, khasara no 1221 (souther/ rear side portion) without roof rights, dwarka city , village chhapraula pargana and tehsil dadri, district gautam budh nagar, u.p-201009",flat
"house no 481, 482, nahouse no 481, 482, housing board colony, sirsa road, hisar, house no 481, 482, ward no 3, housing board colony, sirsa road, hisar, house no 481, 482, housing board colony, house no 481, 482, housing board colony, sirsa road, hisar, hisar, hisar, house no 481, 482, housing board colony, sirsa road, hisar, hisar, hisar, haryana, 125001",houseorplot
"flat 6d mohalla rajendra path from chiriyatand pool to bhattacharya road, mauza moharrampur, p.s gandhi maidan, municipal survey plot no764,765,766 & 812, sheet no 32 & 43, tauzi no 519 & 520 flat no 6d situated on sixth floor, ashiana orchids , block a,situated at mohalla rajendra path circle no. 13, ward no (old), 36 (new), present holding no 663/481,664/482,665/483, thana no 137, dist patna, bihar, pin - 800001 near krish hyundai showroom",flat
"plot-79 j r green park phase 1 & 2 s no sy no. 69/3, 68/2, 20,18/1, 14/2, 19,24/1,23/1igloor village, attibele hobli marsur village, kasaba hobli,anekal taluk bengaluru 562106 karnataka",houseorplot
"house no 1663,hisar,sector 14,hissar,125001",houseorplot
"shop no 135, ground floor, b wing, express zone mall, cts no. 466- b/468, 556-b/487, 23-b/378, 662-b/778, 700-b/600 village dindoshi & 349-b, 977-c, 186-d, village malad, malad (east), taluka borivali, district mumbai suburban",commercial unit
ward no 5 patidar mohalla gopipur shajapur,others
"gopin river ville, plot no. 99-100, gopin river ville, moje: abrama, r.s. no. 57, 243, 132, 136, 143, block no. 61, 131/1, 135, f.p. no. 243, 264, 269, t.p.s. no. 84 (kosadbharthana kosad-mota varachha-abrama), nr. yogeshwar farm, abrama, surat., plot no. 100,, nr. yogeshwar farm, surat, surat, abrama, surat city",houseorplot
"unit-556 satatya green plot fp 861,s no tp 862,nrsidhubhavn ,bodakdev . ahmedabad 380054 gujarat",flat
"village fateh majri, (hadbast no. 64), tehsil samana, distt patiala",landparcel
"western half portion of plot no.24, western half portion of plot no.24, balabhaupeth nagarik gruhnirman sahakari sansthaltd. nagpur,, kh no.89,, sheet no.259/85, cts no.298, mouja dabha,, tah & dist. nagpur. 440023, wardha, ph no.07, nagpur, maharashtra, india, 442001",houseorplot
"unit-c-304 silicon valley sector c s no 1402/1,1407/2/2,1097/1/41407/1/1,1401/1,1403/1 andothers,gram rau, tehsil &district indore rau 453331 madhya pradesh",others
"h no.2-48, ibhrahimnagar v, koilkonda m, mahabubnagar (dt), telangana-509371.",houseorplot
unit-474/402 rhb - pratap nagar s no sanganer jaipur 302033 rajasthan,others
"house on,plot 23,s no /kh-338village salempur mehdud-1pargana roorkee,tehsilharidwar,e-pl,w-rd,n-pl,s-pl hardwar 247667 uttarakhand",houseorplot
"address:1, nana, t.s.no: 100, s no:171/2, 171/3, ward - a, block no:61, old ward no:27, 31, new door no:42/8a, m.r.k iyyar street , v.maruthur village, villupuram municipality and district - 605 602., na, near m.g.r statue, m.r.k iyyar street, villupuram, v maruthur, villupuram , viluppuram, viluppuram, tamil nadu, 605602",houseorplot
"property bearing no.102, old no.103, earlier no.21 jayanagar 1st block, jayanagar, bangalore. pid no.62-136-102, siddapura shri someshwara swamy temple,",houseorplot
"resedential vacate site/vacate bda bearing no 395,anjanapura,situated at 4 th block of anjanapura ,near 80 feet road,560053,bangalore,karn ataka,india56005",houseorplot
"flat-110,floor-1 pragathis raghupathi county h-dhatri plot in,s no 148/bbachupally(v) & (m)pragathinagar gpmedchal-malkajgiri dist rangareddy 500090 telangana",flat
"unit-156 crystal premium s no 5/6, 5/8, 5/9, 5/10,atvillage jiwankhedi tehsilkothimahal district ujjain. ujjain 456010 madhya pradesh",others
l -21 garden bay aster house & plot no. - l -21 garden bay aster village- ghaila district- lucknow- 226021na garden bay aster village- ghaila district- lucknow- 226021 garden bay aster village- ghaila district- lucknow- 226021 na lucknow lucknow lucknow uttar pradesh 226021,houseorplot
"shop-1724a,floor-fourth ganpati dwarika galleria plot 322,335/829,e.m bypassmz-dabgram,jl-350,kh-527,959,683457,32,ps-bhaktinagardabgram-ii g.p jalpaiguri 734004 west bengal",commercial unit
"e southern portion of site no.511/15-16, allotted by bangalore development authority, ward no.52, situated at sunkenahalli adjacent sites, mysore anantha swamy road, bangalore,",houseorplot
property no-655 third floor with roof rights block-f sector-807 sainik colony near dav public school faridabad haryana,flat
property bearing no.900-785/982/350/a2/b2/562 situated at kalaburagi.,others
"1303, 13, aurora, hiranandani fortune city panvel nh4 survey no 30 bhokarpada vlge raighad, nh4 survey no 30 bhokarpada vlge raighad maharashtra 410206 , nh4 survey no 30, hiranandani fortune city",flat
nana na patliputra colony patna patna bihar 800013,others
"virudhunagar district, virudhunagar taluk, virudhunagar joint-2 sro, mesalur village interior veerachellaiyapuram village s.no- 188a/7a2c14 total extends-80.3sq.mt",landparcel
"unit-t1-d-375,floor-sixth om heights 500 plot 984 & 172,s no khasra no-357tapa khurd firozabad 261502 uttar pradesh",flat
"survey no. 9311/3, mouza kokapet, beside outer ring road, mohali, punjab - 266524",landparcel
sco no 781 jain tirath road modren valley sco no 414 chandigarh road near jain mandir,commercial unit
"khasra no. 6245/9, tehsil manesar, near toll plaza, guntur, andhra pradesh - 302609",landparcel
"a-401, 4th, wing a, sani park chsl, cts no 54 of village ambivali, near maasaheb meentai garden, amboli, jai bhavani mata road, mumbai, n.a, andheri west, greater mumbai,maharashtra, 400058",flat
"21, ground, b, applewoods galleria, survey no 346/1 and 349, mouje sarkhej, taluko vejalpur, dist ahmedabad, sp ring road, ahmedabad, shela",flat
"r.s. no. 3689/7, pargana manesar, opposite primary school, bilaspur, chhattisgarh - 292857",landparcel
"patta no. 35 situated at book no. 76, gram jatali, gram panchayat gegal, panchayat samiti shri nagar, teshil & district ajmer; rajasthan",houseorplot
"flat-504,floor-5 sky heritage plot 119,sector 50,bokadvira,node dronagiri , uran raigarh-ms 400702 maharashtra",flat
"flat-204,floor-2 harsh platinum 2 plot fp 6/2/2,block no38+36+39+40+58 , nr vibhushabunglows road, ghuma ahmedabad 380058 gujarat",flat
"the property is situated at khata no 32, khasra no 1156 ja , mauza jhajra , pargana parwadoon , dehradun uttarakhand",landparcel
"37 k 13 m 6s -151-152-153,112/154,113/155-156,114/157,173/232,175/235-236-237 khata no 17/24,97/126-127,99/131-132,100/133-134,101/135-136-137,111/147-148-149-150 situated in village sambali tehsil & distt. hoshiarpur.",landparcel
"bungalow,no 396,citb block no 1 and 3, 4th t block, jaynagar,bangalore,bengaluru urban,karnataka,560041",houseorplot
"d no 17-75/15/8, ward no 17, kg road (main road), sy no 468 & 460a, blue travels/opposite to mm garden",houseorplot
gat no 730/a/2 plot no 2 h no 843 gaigaon gat no 730/a/2 plot no 2 h no 843 gaigaon,houseorplot
"site no : 66 bagur g p kembal road, baguru pid no : 151600502000900079 near venugopalaswamy temple bagur hassan karnataka hassan 573111",houseorplot
"flat,flat no 301 3rd floor,3rd floor ,shantinagar ,shantinagar ,thane,thane,maharashtra,401107",flat
shop no. 648 ground floor juni dombivli road dombivali west shree niwas chs near rk bazaar,commercial unit
survey no. 24 a property no.b2 2799 nagesh enterprises and furniture ausa road latur ausa road 0 nagesh enterprises and furniture ausa road,commercial unit
"unit-895 jeevan mohara s no 361,gram mohara, ph. no.208 rajnandgaon 491441 chhattisgarh",others
pid no 150500400203621975 plot number sn 16 shanti colony beside shri choudeshwari amma temple hosa malpangudi grama malpangudi grama panchayati block hospet vijayanagar dist,houseorplot
"a south facing residential house, part of a nagar palika number 671, total measuring 41.80 square yards, consisting on khasra number 40 (as per sale deed dated 12.05.1975) situated at mohalla ladhawala north, city muzaffarnagar, pargana, tehsil and district muzaffarnagar.",houseorplot
93 mahavir dham soc.1 93kosad kosad amroli road koasd kosad surat city surat surat gujarat 394107,others
"plot no 04, green land city, gram karadiya, urf navakheda, ujjain, ujjain, madhya pradesh, india, 456010",houseorplot
"plo no 54, shreenath greens, gram dabli, tehsil sanwer, indore, indore, madhya pradesh, india, 452001",houseorplot
"gata no. 6942/8, tehsil madhavpur, near railway station, bhubaneswar, odisha - 745046",landparcel
"shop no g-148, trust, opp mahila college, kalawad ground floor, shiv ashish complex, nr lohana mahajan cs ward no 704, cs no 222, rs no 433p kalawad road",commercial unit
"khasra no. 3876/6, pargana kothanur, near ganga ghat, gandhinagar, gujarat - 672818",landparcel
"part of plot no-13, part of khasra no-357 min, area-800 sq.ft, situated at village-salempur pataura, pargana-kakori, tehsil & district-lucknow.",houseorplot
"office no. 306, 3rd floor near vidyavihar railway station, c wing, neelkanth business park cpsl, mumbai",commercial unit
"site no 286,s no 38(p), 39(p)& 40(p),ward no 3,villagesrigandhadakavalu,poyeshwanthpura hobli,talukabangalore north bengaluru 560010 karnataka",landparcel
13lothada-bhayasar road lothada rajkot rajkot gujarat 360024,landparcel
"flat,na,na,49,na,sahar sharania 1 khanda, dag no 250 & patta no 49, area land area in lessa 1 lessa,ulubari,ulubari ,kamrup,kamrup,assam,781007",flat
"rem. part of house no. 868, new ppid no. 1kyemjt5, old prop. id no. 369c110u169 tehsil jagadhri, distt. ynr -135 001 situated at rana lane, bhatia street, yamuna nagar, inside municipal corporation, yamuna nagar-jagadhri behind anand market",houseorplot
e 533 midc waluj nrb mayur enterprises waluj midc aurangabad e 60 midc waluj nrb aurangabad waluj midc waluj midc 118 e 399 midc waluj nrb aurangabad waluj midc,others
ground floor 50 55 rs 28 lr back side mouza dhukuria 0 jl no 53 ps matigara near mount view apartment darjeeling,flat
"site no 15, property no 27, katha no 2566, sorahunase, madhura nagar, varthur hobli, bengaluru, karnataka, india, 560087",houseorplot
"plot no 106 shree krishna vatika, muhana, sanganer, jaipur 106sanganer shree krishna vatika muhana jaipur jaipur rajasthan 302020",houseorplot
"villa no. 12, nala viola, h no. 174/3d, s no. 398/14-b-1, village anjuna, bardez , ., near casu zama project, mapusa, anjuna caisua, bardez, north goa, goa, 403509",houseorplot
